,опыт работы,регион,пол,возраст,образование,вуз,язык,занятость,желаемая з/п,Последнее место работы
12,20 лет,Москва,Мужчина,39 лет,Неоконченное высшее образование,"Московский государственный технический университет радиотехники, электроники и автоматики, Москва",Русский — Родной Английский — B2 — Средне-продвинутый Немецкий — A1 — Начальный,Занятость: полная занятость,60 000 ₽ на руки,Декабрь 2014 — по настоящее время9 лет 6 месяцев
13,7 лет,Новосибирск,Мужчина,34 года,Высшее образование,"Братский государственный университет, Братск",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,140 000 ₽ на руки,Декабрь 2021 — Декабрь 20232 года 1 месяц
14,4 года,Москва,Мужчина,24 года,Неоконченное высшее образование,"Московский авиационный институт (национальный исследовательский университет), Москва",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость",180 000 ₽ на руки,Ноябрь 2023 — по настоящее время7 месяцев
15,19 лет,Москва,Мужчина,40 лет,Высшее образование,МГТУ им. Баумана,Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,150 000 ₽ на руки,Апрель 2017 — по настоящее время7 лет 2 месяца
16,12 лет,Ростов-на-Дону,Мужчина,33 года,Высшее образование,Южный Федеральный Университет,Русский — Родной,Занятость: полная занятость,25 000 ₽ на руки,Февраль 2012 — по настоящее время12 лет 4 месяца
17,17 лет,Санкт-Петербург,Мужчина,40 лет,Высшее образование,Санкт-Петербургский Государственный Университет Аэрокосмического Приборостроения,Английский — C2 — В совершенстве,Занятость: полная занятость,40 000 ₽ на руки,Май 2007 — по настоящее время17 лет 1 месяц
18,9 лет,Кемерово,Женщина,30 лет,Высшее образование,"РЭУ им. Г. В. Плеханова (бывш. РГТЭУ, КФ)",Русский — Родной Английский — A1 — Начальный Корейский — A1 — Начальный Японский — A1 — Начальный,Занятость: полная занятость,15 000 ₽ на руки,Апрель 2015 — по настоящее время9 лет 2 месяца
19,6 лет,Латвия,Мужчина,55 лет,Высшее образование,Рижский Технический Университет,Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,200 000 ₽ на руки,Декабрь 2019 — по настоящее время4 года 6 месяцев
20,8 лет,Иваново (Ивановская область),Мужчина,28 лет,Среднее специальное образование,Ивановский Энерго Колледж,Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,21 500 ₽ на руки,Август 2015 — по настоящее время8 лет 10 месяцев
21,11 лет,Ростов-на-Дону,Мужчина,35 лет,Высшее образование,ПИ ЮФУ,Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость",25 000 ₽ на руки,Апрель 2013 — по настоящее время11 лет 2 месяца
22,12 лет,Москва,Мужчина,35 лет,Высшее образование,Университет Информационных Технологий,Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,70 000 ₽ на руки,Ноябрь 2019 — по настоящее время4 года 7 месяцев
23,5 лет,Евпатория,Мужчина,42 года,Высшее образование,"Владимирский юридический институт Федеральной службы исполнения наказаний Российской Федерации, Владимир",Русский — Родной Английский — B1 — Средний,"Занятость: полная занятость, частичная занятость, проектная работа",140 000 ₽ на руки,Январь 2022 — по настоящее время2 года 5 месяцев
24,16 лет,Красноярск,Мужчина,43 года,Высшее образование,"Сибирский государственный аэрокосмический университет им. академика М. Ф. Решетнева, Красноярск",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,50 000 ₽ на руки,Декабрь 2010 — по настоящее время13 лет 6 месяцев
25,22 года,Ижевск,Мужчина,45 лет,Высшее образование,"Удмуртский государственный университет, Ижевск",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,35 000 ₽ на руки,Сентябрь 2001 — по настоящее время22 года 9 месяцев
26,2 года,Томск,Мужчина,28 лет,Среднее специальное образование,Томский Техникум Информационных Технологий,Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа",55 000 ₽ на руки,Август 2021 — Июнь 20231 год 11 месяцев
27,17 лет,Санкт-Петербург,Мужчина,59 лет,Высшее образование,ЛЭТИ,Русский — Родной Английский — C1 — Продвинутый,Занятость: полная занятость,40 000 ₽ на руки,Апрель 2007 — по настоящее время17 лет 2 месяца
28,9 лет,Санкт-Петербург,Мужчина,32 года,Среднее специальное образование,"Невинномысский государственный гуманитарно-технический институт, Невинномысск",Русский — Родной Английский — C2 — В совершенстве,"Занятость: полная занятость, частичная занятость, проектная работа, волонтерство, стажировка",1 000 ₽ на руки,Ноябрь 2014 — по настоящее время9 лет 7 месяцев
29,10 лет,Новосибирск,Мужчина,30 лет,Высшее образование,"Омский государственный университет им. Ф.М. Достоевского, Омск",Русский — Родной Английский — A1 — Начальный,"Занятость: частичная занятость, проектная работа",20 000 ₽ на руки,Январь 2014 — по настоящее время10 лет 5 месяцев
30,10 лет,Набережные Челны,Мужчина,32 года,Высшее образование (Бакалавр),"Филиал Казанского (Приволжского) федерального университета, Набережные Челны",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,40 000 ₽ на руки,Ноябрь 2013 — по настоящее время10 лет 7 месяцев
31,21 год,Вологда,Мужчина,44 года,Высшее образование,"Вологодский государственный технический университет, Вологда",Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость, проектная работа",180 000 ₽ на руки,Апрель 2017 — по настоящее время7 лет 2 месяца
32,16 лет,Тольятти,Мужчина,39 лет,Высшее образование, 	 Ульяновский Государственный Технический Университет,Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,35 000 ₽ на руки,Июнь 2010 — по настоящее время14 лет
33,35 лет,Красноярск,Мужчина,57 лет,Высшее образование,Красноярский завод-ВТУЗ,Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость",100 000 ₽ на руки,Июнь 2021 — по настоящее время3 года
34,10 лет,Москва,Мужчина,53 года,Высшее образование,"Московский авиационный институт (национальный исследовательский университет), Москва",Русский — Родной Английский — C1 — Продвинутый Украинский — C2 — В совершенстве,"Занятость: полная занятость, частичная занятость",250 000 ₽ на руки,Декабрь 2017 — по настоящее время6 лет 6 месяцев
35,18 лет,Архангельск,Мужчина,47 лет,Высшее образование,"Северный институт предпринимательства, Архангельск",Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость, проектная работа",70 000 ₽ на руки,Август 2005 — по настоящее время18 лет 10 месяцев
36,20 лет,Москва,Мужчина,42 года,Высшее образование,"Национальный исследовательский университет ""Высшая школа экономики"", Москва",Русский — Родной Английский — B1 — Средний,Занятость: полная занятость,100 000 ₽ на руки,Март 2016 — по настоящее время8 лет 3 месяца
37,11 лет,Сергиев Посад,Мужчина,,Неоконченное высшее образование,"Филиал  Московского государственного университета приборостроения и информатики, Сергиев Посад",Русский — Родной,"Занятость: полная занятость, частичная занятость, стажировка",40 000 ₽ на руки,Январь 2013 — по настоящее время11 лет 5 месяцев
38,8 лет,Дербент,Мужчина,24 года,Высшее образование (Бакалавр),"Волгоградский государственный университет, Волгоград",Русский — Родной Английский — C1 — Продвинутый,"Занятость: полная занятость, частичная занятость",60 000 ₽ на руки,Ноябрь 2015 — по настоящее время8 лет 7 месяцев
39,20 лет,Новосибирск,Мужчина,46 лет,Высшее образование,НГПУ (Новосибирский государственный педагогический университет)	Новосибирск,Русский — Родной,Занятость: полная занятость,25 000 ₽ на руки,Декабрь 2003 — по настоящее время20 лет 6 месяцев
40,11 лет,Пермь,Мужчина,47 лет,Неоконченное высшее образование,Пермский государственный технический университет,Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость",80 000 ₽ на руки,Октябрь 2012 — по настоящее время11 лет 8 месяцев
41,8 лет,Москва,Мужчина,41 год,Среднее образование,Учебно-курсовой комбинат,Русский — Родной Английский — A2 — Элементарный,"Занятость: полная занятость, частичная занятость, проектная работа, стажировка",40 000 ₽ на руки,Март 2021 — по настоящее время3 года 3 месяца
42,17 лет,Нижний Новгород,Мужчина,38 лет,Высшее образование,Нижегородский Государственный Технический Университет,Английский — C2 — В совершенстве Русский — B2 — Средне-продвинутый,Занятость: полная занятость,20 000 ₽ на руки,Сентябрь 2006 — по настоящее время17 лет 9 месяцев
43,28 лет,Химки,Мужчина,53 года,Высшее образование,БГТУ,Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,40 000 ₽ на руки,Октябрь 2008 — по настоящее время15 лет 8 месяцев
44,11 лет,Брянск,Мужчина,34 года,Высшее образование,БГТУ,Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,90 000 ₽ на руки,Февраль 2016 — Март 20248 лет 2 месяца
45,29 лет,Балашиха,Мужчина,52 года,Образование,,Английский — A1 — Начальный,Занятость: частичная занятость,90 000 ₽ на руки,Декабрь 2003 — по настоящее время20 лет 6 месяцев
46,12 лет,Кемерово,Мужчина,36 лет,Высшее образование,"Кемеровский государственный университет, Кемерово",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,35 000 ₽ на руки,Май 2012 — по настоящее время12 лет 1 месяц
47,5 лет,Пермь,Мужчина,22 года,Среднее специальное образование,КГАПОУ Колледж Оникс,Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость, стажировка",30 000 ₽ на руки,Август 2018 — по настоящее время5 лет 10 месяцев
48,11 лет,Раменское,Мужчина,58 лет,Среднее специальное образование,МХТТ,Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: частичная занятость, проектная работа",40 000 ₽ на руки,Март 2013 — по настоящее время11 лет 3 месяца
49,19 лет,Пятигорск,Мужчина,45 лет,Высшее образование,Бизнес ИТ г.Пятигорск,Русский — Родной Английский — C1 — Продвинутый,"Занятость: полная занятость, частичная занятость",30 000 ₽ на руки,Сентябрь 2014 — по настоящее время9 лет 9 месяцев
50,18 лет,Москва,Женщина,40 лет,Высшее образование,Чувашский государственный университет имени И.Н. Ульянова,Английский — C2 — В совершенстве Русский — B2 — Средне-продвинутый,Занятость: полная занятость,40 000 ₽ на руки,Март 2008 — по настоящее время16 лет 3 месяца
51,6 лет,Москва,Мужчина,24 года,Среднее специальное образование,ГБПОУКГиТ41,Русский — Родной,"Занятость: частичная занятость, проектная работа",5 000 ₽ на руки,Декабрь 2017 — по настоящее время6 лет 6 месяцев
52,13 лет,Нижний Новгород,Женщина,35 лет,Высшее образование,"Нижегородский государственный университет им. Н.И. Лобачевского (Национальный исследовательский университет), Нижний Новгород",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,80 000 ₽ на руки,Ноябрь 2013 — по настоящее время10 лет 7 месяцев
53,27 лет,Челябинск,Женщина,56 лет,Высшее образование,"Южно-Уральский государственный университет (Национальный исследовательский университет), Челябинск",Русский — Родной Английский — B2 — Средне-продвинутый Итальянский — A1 — Начальный Латинский — A1 — Начальный,Занятость: проектная работа,45 000 ₽ на руки,Август 2005 — по настоящее время18 лет 10 месяцев
54,20 лет,Калининград,Мужчина,61 год,Высшее образование,Курский Государственный Медицинский Университет,Английский — C2 — В совершенстве Польский — A1 — Начальный Турецкий — A1 — Начальный,Занятость: полная занятость,60 000 ₽ на руки,Март 2007 — по настоящее время17 лет 3 месяца
55,11 лет,Нижний Новгород,Женщина,36 лет,Высшее образование,ННГУ им. Лобачевского,Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, проектная работа",50 000 ₽ на руки,Февраль 2014 — по настоящее время10 лет 4 месяца
56,12 лет,Архангельск,Мужчина,47 лет,Высшее образование,Вельский коммерческо-экономический техникум,Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа",40 000 ₽ на руки,Сентябрь 2011 — по настоящее время12 лет 9 месяцев
57,20 лет,Санкт-Петербург,Мужчина,39 лет,Среднее специальное образование,"ПЛ ""Приморский""",Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость, проектная работа",45 000 ₽ на руки,Сентябрь 2008 — по настоящее время15 лет 9 месяцев
58,19 лет,Белгород,Мужчина,46 лет,Высшее образование,Бакинский Государственный Университет,Русский — Родной Азербайджанский — A1 — Начальный Английский — B2 — Средне-продвинутый Французский — A1 — Начальный,"Занятость: полная занятость, частичная занятость, проектная работа",1 000 ₼ на руки,Январь 2005 — по настоящее время19 лет 5 месяцев
59,19 лет,Санкт-Петербург,Мужчина,39 лет,Высшее образование,"Воронежский государственный университет, Воронеж",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа",150 000 ₽ на руки,Май 2010 — по настоящее время14 лет 1 месяц
60,26 лет,Челябинск,Мужчина,45 лет,Высшее образование,"Национальный исследовательский ядерный университет ""МИФИ"", Москва",Русский — Родной,"Занятость: полная занятость, частичная занятость, проектная работа",70 000 ₽ на руки,Апрель 2014 — по настоящее время10 лет 2 месяца
61,11 лет,Плешаново,Мужчина,33 года,Среднее специальное образование,Электроники и бизнеса,Русский — Родной Башкирский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа",40 000 ₽ на руки,Май 2021 — по настоящее время3 года 1 месяц
62,6 лет,Москва,Мужчина,26 лет,Высшее образование (Бакалавр),"Московский авиационный институт (национальный исследовательский университет), Москва",Русский — Родной Английский — B1 — Средний,Занятость: полная занятость,250 000 ₽ на руки,Март 2018 — по настоящее время6 лет 3 месяца
63,17 лет,Москва,Мужчина,38 лет,Высшее образование,Обнинский Государственный Технический Университет Атомной Энергетики (ИАТЭ),Английский — A1 — Начальный Русский — B2 — Средне-продвинутый,Занятость: полная занятость,50 000 ₽ на руки,Ноябрь 2009 — по настоящее время14 лет 7 месяцев
64,13 лет,Благовещенск (Амурская область),Мужчина,39 лет,Неоконченное высшее образование,"Амурский государственный университет, Благовещенск (Амурская область)",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: частичная занятость, проектная работа",50 000 ₽ на руки,Май 2011 — по настоящее время13 лет 1 месяц
65,17 лет,Санкт-Петербург,Мужчина,38 лет,Высшее образование,ХГАЭП (Хабаровская государственная академия экономики и права),Английский — B2 — Средне-продвинутый,Занятость: полная занятость,35 000 ₽ на руки,Октябрь 2006 — по настоящее время17 лет 8 месяцев
66,20 лет,Дзержинск (Нижегородская область),Мужчина,44 года,Высшее образование,"Нижегородский государственный университет им. Н.И. Лобачевского (Национальный исследовательский университет), Нижний Новгород",Русский — Родной Английский — A1 — Начальный Немецкий — A1 — Начальный,"Занятость: полная занятость, частичная занятость",150 000 ₽ на руки,Июль 2014 — по настоящее время9 лет 11 месяцев
67,7 месяцев,Уфа,Мужчина,27 лет,Среднее специальное образование,УКСИВТ,Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,20 000 ₽ на руки,Ноябрь 2015 — Май 20167 месяцев
68,7 лет,Москва,Мужчина,42 года,Неоконченное высшее образование,Ереванский государственный университет,Русский — Родной,"Занятость: полная занятость, частичная занятость, проектная работа",250 000 ₽ на руки,Август 2019 — по настоящее время4 года 10 месяцев
69,7 лет,Казань,Мужчина,28 лет,Высшее образование (Бакалавр),"Казанский (Приволжский) федеральный университет, Казань",Русский — Родной,"Занятость: полная занятость, частичная занятость, проектная работа, стажировка",80 000 ₽ на руки,Март 2018 — по настоящее время6 лет 3 месяца
70,13 лет,Владивосток,Мужчина,36 лет,Высшее образование,"Морской государственный университет им. адмирала Г. И. Невельского, Владивосток",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа",60 000 ₽ на руки,Сентябрь 2010 — по настоящее время13 лет 9 месяцев
71,3 года,Нефтекамск,Мужчина,24 года,Среднее специальное образование,"Ижевский государственный технический университет им. М.Т. Калашникова, Ижевск",Русский — Родной Английский — A2 — Элементарный,Занятость: полная занятость,35 000 ₽ на руки,Ноябрь 2021 — по настоящее время2 года 7 месяцев
72,7 лет,Москва,Мужчина,30 лет,Высшее образование (Магистр),"Московский авиационный институт (национальный исследовательский университет), Москва",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,250 000 ₽ на руки,Апрель 2018 — по настоящее время6 лет 2 месяца
73,6 лет,Малгобек,Мужчина,33 года,Высшее образование,"Кабардино-Балкарский государственный университет им. Х.М. Бербекова, Нальчик",Русский — Родной,Занятость: полная занятость,25 000 ₽ на руки,Январь 2018 — по настоящее время6 лет 5 месяцев
74,32 года,Саратов,Мужчина,52 года,Высшее образование,"Саратовский государственный университет им. Н.Г. Чернышевского, Саратов",Русский — Родной Английский — B2 — Средне-продвинутый Немецкий — A1 — Начальный Французский — A1 — Начальный,"Занятость: полная занятость, частичная занятость, проектная работа",120 000 ₽ на руки,Ноябрь 2011 — по настоящее время12 лет 7 месяцев
75,7 лет,Тамбов,Мужчина,28 лет,Высшее образование,"Тамбовский государственный технический университет, Тамбов",Русский — Родной,Занятость: полная занятость,100 000 ₽ на руки,Март 2020 — по настоящее время4 года 3 месяца
76,12 лет,Рыбинск,Мужчина,35 лет,Высшее образование,"Российская академия народного хозяйства и государственной службы при Президенте РФ, Москва",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,35 000 ₽ на руки,Апрель 2012 — по настоящее время12 лет 2 месяца
77,3 года,Санкт-Петербург,Мужчина,25 лет,Высшее образование (Бакалавр),"Санкт-Петербургский государственный электротехнический университет ""ЛЭТИ"" им. В.И. Ульянова (Ленина), Санкт-Петербург",Русский — Родной Английский — C1 — Продвинутый,Занятость: полная занятость,60 000 ₽ на руки,Октябрь 2020 — по настоящее время3 года 8 месяцев
78,24 года,Иркутск,Мужчина,40 лет,Высшее образование,Аспирантура ИГУ,Русский — Родной Английский — C1 — Продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа",130 000 ₽ на руки,Июль 2019 — по настоящее время4 года 11 месяцев
79,4 года,Боровск,Мужчина,27 лет,Высшее образование (Магистр),"Обнинский институт атомной энергетики (филиал) Национального исследовательского ядерного университета ""МИФИ"", Обнинск",Русский — Родной Английский — A1 — Начальный,Занятость: частичная занятость,35 000 ₽ на руки,Август 2019 — по настоящее время4 года 10 месяцев
80,16 лет,Москва,Мужчина,37 лет,Образование,,Английский — C2 — В совершенстве Русский — B2 — Средне-продвинутый,Занятость: полная занятость,45 000 ₽ на руки,Январь 2008 — по настоящее время16 лет 5 месяцев
81,7 лет,Москва,Мужчина,17 лет,Образование,,Русский — Родной Английский — B1 — Средний Немецкий — B1 — Средний Французский — A1 — Начальный,Занятость: полная занятость,10 ₽ на руки,Сентябрь 2016 — по настоящее время7 лет 9 месяцев
82,15 лет,Москва,Мужчина,36 лет,Высшее образование,"Национальный аэрокосмический университет ""Харьковский авиационный институт"" им. Н.Е. Жуковского, Харьков",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость",80 000 ₽ на руки,Сентябрь 2013 — по настоящее время10 лет 9 месяцев
83,24 года,Санкт-Петербург,Мужчина,40 лет,Высшее образование,"Московский Международный Университет Экономики, Статистики и Информатики",Русский — Родной Английский — C1 — Продвинутый,Занятость: полная занятость,1 000 $ на руки,Июль 2001 — по настоящее время22 года 11 месяцев
84,17 лет,Абакан,Мужчина,41 год,Высшее образование,"Хакасский государственный университет им. Н.Ф. Катанова, Абакан",Русский — Родной Английский — C1 — Продвинутый,"Занятость: полная занятость, частичная занятость",2 000 $ на руки,Апрель 2011 — по настоящее время13 лет 2 месяца
85,9 лет,Курск,Мужчина,,Высшее образование,"Юго-Западный государственный университет, Курск",Русский — Родной Английский — C1 — Продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа",290 000 ₽ на руки,Сентябрь 2021 — по настоящее время2 года 9 месяцев
86,15 лет,Владимир,Мужчина,45 лет,Высшее образование,Владимирский государственный университет,Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,25 000 ₽ на руки,Январь 2010 — по настоящее время14 лет 5 месяцев
87,8 лет,Нижний Новгород,Женщина,35 лет,Высшее образование,"Нижегородский государственный университет им. Н.И. Лобачевского (Национальный исследовательский университет), Нижний Новгород",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа, стажировка",160 000 ₽ на руки,Август 2023 — по настоящее время10 месяцев
88,27 лет,Абакан,Мужчина,50 лет,Высшее образование,"Новосибирский национальный исследовательский государственный университет, Новосибирск",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость",230 000 ₽ на руки,Апрель 2019 — по настоящее время5 лет 2 месяца
89,24 года,Нижний Новгород,Мужчина,40 лет,Высшее образование,"Нижегородский государственный университет им. Н.И. Лобачевского (Национальный исследовательский университет), Нижний Новгород",Русский — Родной Английский — A1 — Начальный,"Занятость: частичная занятость, проектная работа",65 000 ₽ на руки,Январь 2000 — по настоящее время24 года 5 месяцев
90,11 лет,Ставрополь,Мужчина,31 год,Высшее образование,"Филиал Московского государственного университета приборостроения и информатики, Ставрополь",Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость",30 000 ₽ на руки,Апрель 2013 — по настоящее время11 лет 2 месяца
